,ISO3,year,displacements,GID_1,GID_2,num_provinces,num_districts,GFD_matches,GFD_matches_nr,GFD_matches_time_dif,GFD_duration,matching_type,pop_affected_sum_GHSL,pop_affected_mean_GHSL,pop_density_GHSL,pop_affected_sum_GPW,pop_affected_mean_GPW,pop_density_GPW,GDP_affected_sum,cable_affected_sum,plant_affected_sum,power_pole_affected_sum,power_tower_affected_sum,line_affected_sum,mast_affected_sum,communication_tower_affected_sum,doctors_affected_sum,hospital_affected_sum,pharmacy_affected_sum,primary_road_affected_sum,tertiary_road_affected_sum,reservoir_affected_sum,school_affected_sum,university_affected_sum,GDP_affected_mean,education_affected_mean,energy_affected_mean,health_affected_mean,telecommunication_affected_mean,transportation_affected_mean,water_affected_mean,CISI_global_affected_mean,cable_affected_mean,plant_affected_mean,power_pole_affected_mean,power_tower_affected_mean,line_affected_mean,mast_affected_mean,communication_tower_affected_mean,doctors_affected_mean,hospital_affected_mean,pharmacy_affected_mean,primary_road_affected_mean,tertiary_road_affected_mean,reservoir_affected_mean,school_affected_mean,university_affected_mean,GDPpc_mean,HDI_mean,urbanization_mean,landuse_total_mean,elevation_mean,roughness_mean,slope_mean,female_mean,pop_0_14_mean,pop_65_plus_mean,FLOPROS_merged_mean,FLOPROS_modeled_mean,forest_cover_mean
0,AFG,2008.0,180.0,,,,,1,3359,8.0,11.0,1,85.0,17.0,817.31,260.0,52.0,2500.0,17609414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.94203,0.0,0.0,0.0,8804707.0,0.0,0.0,0.0,0.0,0.00141,0.0,0.00034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.97101,0.0,0.0,0.0,1335.5914300000004,0.434,0.00022,0.37374,2954.05,193.975,16.34281,0.48938,0.4860600000000001,0.02164,2.0,2.0,0.0
1,AFG,2013.0,4880.0,,,,,2,"[4078, 4082]",3.0,10.0,2,31382.0,15.0,77.25,29200.0,14.0,71.88,2190067968.0,0.0,0.0191,2.0,1031.0,265.13145,6.0,4.0,36.0,34.0,28.0,665.09408,4209.46067,46.4113,0.53362,0.1902,8233338.22556,0.0006,0.00441,0.00016,0.00023,0.00629,0.00191,0.00425,0.0,8e-05,0.008620000000000001,4.443969999999998,1.14281,0.02586,0.017240000000000002,0.15517,0.14655,0.12069,2.86678,18.14423,0.20005,0.0023,0.00082,2476.8992,0.50608,0.00148,0.09301,2082.84849,64.12646,5.37672,0.48914,0.46697,0.02395,2.92105,2.9060200000000003,0.0
2,AFG,2015.0,1210.0,,AFG.1.11_1,,1.0,1,4272,2.0,35.0,1,514.0,3.0,27.38,835.0,4.0,44.48,95175384.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,21.0,20.0,4.0,168.3514,155.1841,0.0,0.02938,0.0,2884102.54545,0.00015,0.0004,0.00074,0.00021,0.01212,0.0,0.00348,0.0,0.0,0.0,0.8695700000000001,0.0,0.0,0.08696,0.91304,0.8695700000000001,0.17390999999999998,7.31963,6.74713,0.0,0.00128,0.0,1965.01101,0.51039,0.00066,0.03632,3115.66346,162.49186,13.50945,0.4863,0.4658100000000001,0.02461,2.0,2.0,0.0
3,AFG,2015.0,581.0,,AFG.1.2_1,,1.0,1,4272,5.0,35.0,1,0.0,0.0,0.0,923.0,13.0,476.76,41577668.0,0.0,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8625099999999986,14.668079999999998,0.0,0.0,0.0,2078883.4,0.0,0.0,0.0,0.0,0.00063,0.0,0.00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34485,0.8628299999999999,0.0,0.0,0.0,1820.3043,0.479,0.00011,0.03019,4200.23063,227.68046,18.62707,0.4956,0.48602,0.02167,2.0,2.0,0.0
4,AFG,2018.0,22.0,AFG.17_1,,1.0,,1,4645,2.0,8.0,1,0.0,0.0,0.0,608.0,50.0,1293.62,31253044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5117,18.08499,0.0,0.0,0.0,7813261.0,0.0,0.0,0.0,0.0,0.00115,0.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8372299999999999,6.02833,0.0,0.0,0.0,1986.93567,0.5068,0.00055,0.25627,2491.0677100000007,137.56771,11.10478,0.48361,0.4861,0.02161,2.0,2.0,0.0
5,AFG,2018.0,2000.0,AFG.27_1,AFG.27.3_1,1.0,1.0,1,4645,8.0,8.0,1,36.0,6.0,236.84,109.0,18.0,717.11,5087666.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92069,0.0,0.0,0.0,1695888.8333299996,0.0,0.0,0.0,0.0,3e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3069,0.0,0.0,0.0,1986.93571,0.5068,0.0005099999999999999,0.03023,4496.64583,212.47917,17.4874,0.49094,0.48605,0.02165,2.0,2.0,0.0
6,AGO,2015.0,483.0,AGO.7_1,,1.0,,1,4233,19.0,14.0,1,95.0,0.0,1.11,2413.0,7.0,28.23,211583424.0,0.0,0.00705,0.0,137.0,70.8365,0.0,0.0,0.0,0.0,0.0,11.33716,214.31186,0.00838,0.0,0.0,5877317.333330002,0.0,0.00748,0.0,0.0,0.00175,0.0,0.00306,0.0,0.00025,0.0,4.89286,2.5298700000000003,0.0,0.0,0.0,0.0,0.0,0.4049,7.6539899999999985,0.0003,0.0,0.0,6937.006509999998,0.5329999999999999,0.00104,0.02152,981.35599,23.13328,2.04191,0.5154,0.47293,0.02375,16.0,16.0,0.0005200000000000001
7,AGO,2015.0,3920.0,AGO.11_1,,1.0,,1,4233,0.0,14.0,1,56487.0,855.0,24862.24,77648.0,1176.0,34176.06,15776224256.0,0.0,0.18969,118.0,416.0,121.94159,2.0,2.0,0.0,25.0,74.0,217.95548,6309.46677,0.0,0.61905,0.38499,1213555712.0,0.00765,0.04244,0.0058,0.00176,0.08553,0.0,0.04142,0.0,0.017240000000000002,10.72727,37.81818,11.0856,0.18182,0.18182,0.0,2.27273,6.72727,19.81413,573.58789,0.0,0.05628,0.035,6937.006009999999,0.5329999999999999,0.03365,0.05676000000000001,2.85322,5.82481,0.50126,0.5104,0.47304,0.02372,11.07692,11.07692,0.00029
8,AGO,2017.0,1250.0,AGO.8_1,,1.0,,1,4455,5.0,13.0,1,24509.0,28.0,192.67,14367.0,16.0,112.94,920859648.0,0.0,0.0,417.0,250.0,58.490080000000006,0.0,0.0,0.0,2.0,2.0,168.29648,1632.92514,0.03685,0.01258,0.0,8940384.932039997,6e-05,0.00468,3e-05,0.0,0.00456,0.0,0.00283,0.0,0.0,4.96429,2.9761900000000003,0.69631,0.0,0.0,0.0,0.02381,0.02381,2.00353,19.43958,0.00044,0.00015,0.0,7351.14078,0.55193,0.00124,0.09128,1119.28323,3.38534,0.23224,0.53269,0.4725,0.02395,16.0,16.0,8e-05
9,AGO,2018.0,490.0,AGO.10_1,,1.0,,1,4586,17.0,13.0,1,25176.0,276.0,1367.07,1076.0,11.0,58.43,694411840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.67692,366.79819,2.97499,0.00043,0.0,34720592.0,0.0,0.0,0.0,0.0,0.007240000000000002,0.00189,0.00288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2451300000000005,24.45321,0.19833,3e-05,0.0,7558.207809999999,0.5614,0.0008699999999999999,0.10135,1334.04052,10.06113,0.92442,0.5288,0.47264,0.02381,16.0,16.0,0.00016
