,ISO3,year,disasterno,total_deaths,no_injured,no_affected_EMDAT,no_homeles,total_affected_EMDAT,total_damages_(000_USD),idx,GFD_matches,GFD_matches_nr,GFD_matches_time_dif,GFD_duration,matching_type,pop_affected_sum_GHSL,pop_affected_mean_GHSL,pop_density_GHSL,pop_affected_sum_GPW,pop_affected_mean_GPW,pop_density_GPW,GDP_affected_sum,cable_affected_sum,plant_affected_sum,power_pole_affected_sum,power_tower_affected_sum,line_affected_sum,mast_affected_sum,communication_tower_affected_sum,doctors_affected_sum,hospital_affected_sum,pharmacy_affected_sum,primary_road_affected_sum,tertiary_road_affected_sum,reservoir_affected_sum,school_affected_sum,university_affected_sum,GDP_affected_mean,education_affected_mean,energy_affected_mean,health_affected_mean,telecommunication_affected_mean,transportation_affected_mean,water_affected_mean,CISI_global_affected_mean,cable_affected_mean,plant_affected_mean,power_pole_affected_mean,power_tower_affected_mean,line_affected_mean,mast_affected_mean,communication_tower_affected_mean,doctors_affected_mean,hospital_affected_mean,pharmacy_affected_mean,primary_road_affected_mean,tertiary_road_affected_mean,reservoir_affected_mean,school_affected_mean,university_affected_mean,GDPpc_mean,HDI_mean,urbanization_mean,landuse_total_mean,elevation_mean,roughness_mean,slope_mean,female_mean,pop_0_14_mean,pop_65_plus_mean,FLOPROS_merged_mean,FLOPROS_modeled_mean,forest_cover_mean
0,NPL,2005.0,2005-0556,51.0,,1600.0,,1600.0,,0.0,2,"[2718, 2731]",10.5,11.5,2,11956.0,166.0,1512.36,4647.0,64.0,587.82,235847664.0,0.0,0.0,0.0,49.0,16.61531,0.0,0.0,0.0,2.0,1.0,14.67852,918.34982,31.09356,0.01241,0.0,18142128.0,5e-05,0.00335,0.00018,0.0,0.00911,0.01747,0.00968,0.0,0.0,0.0,2.88235,0.97737,0.0,0.0,0.0,0.11765,0.05882,0.86344,54.02058,1.82903,0.00073,0.0,1241.52021,0.48073,0.00132,0.15517999999999998,1080.32552,48.55816,4.00323,0.68621,0.57008,0.38624,9.53846,2.38462,0.00015
1,BGR,2002.0,2002-0552,1.0,,,,,1000.0,0.0,1,1995,20.0,4.0,1,11265.0,25.0,143.07,5647.0,12.0,71.72,1106600704.0,0.0,0.03746,365.0,1110.0,301.08287,4.0,6.0,0.0,8.0,15.0,203.13842,2918.75375,3.21038,0.21815,0.015330000000000003,24591126.75556,0.00086,0.02802,0.00015,0.00099,0.01616,0.0007,0.01568,0.0,0.00085,8.29545,25.22727,6.842789999999999,0.09091,0.13635999999999998,0.0,0.18182,0.34091,4.61678,66.33530999999999,0.07296,0.00496,0.00035,8263.55,0.7118,0.00639,0.42712,103.05014,19.42931,1.7754,0.50561,0.11863,0.26071,18.68889,16.53333,0.00023
2,LAO,2002.0,2002-0614,2.0,,150000.0,,150000.0,,0.0,1,2039,10.0,100.0,2,207425.0,92.0,288.05,115748.0,51.0,160.74,3040415744.0,0.0,0.00864,0.0,1949.0,831.47703,0.0,15.0,12.0,28.0,34.0,1254.76622,8762.50762,503.34674,1.0115,3.52567,16705581.01099,0.00126,0.01645,0.00022,0.00022,0.01391,0.03023,0.02049,0.0,5e-05,0.0,12.25786,5.229419999999998,0.0,0.09434,0.07547000000000001,0.1761,0.21384,7.891610000000001,55.11011,3.1657,0.00636,0.02217,2593.71223,0.50879,0.0012,0.14823,193.06678,23.52039,1.99584,0.5013,0.33133,0.04946,7.76923,7.76923,0.00017
3,ECU,2013.0,2013-0372,,,25567.0,,25567.0,,0.0,1,4017,3.0,6.0,1,3.0,0.0,4.4,2.0,0.0,2.93,2591330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1295665.0,0.0,0.0,0.00014,0.0,0.0,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7089.25293,0.736,2e-05,8e-05,196.09821,8.46429,0.75617,0.49475,0.47413,0.02817,16.0,16.0,0.00054
4,MEX,2007.0,2007-0435,,,55000.0,,55000.0,,0.0,1,3184,5.0,8.0,2,186908.0,21.0,74.97,173193.0,20.0,69.46,25409241088.0,0.0,3.9863,1.0,2199.0,866.26273,16.0,13.0,1.0,64.0,137.0,1997.47063,21349.37319,2.749,1.38374,2.02844,60642580.16229,0.0005200000000000001,0.008159999999999999,0.00042,0.00042,0.01351,8e-05,0.00705,0.0,0.01159,0.0029100000000000003,6.3924400000000015,2.51821,0.04651,0.03779,0.0029100000000000003,0.18605,0.39826,5.8066,62.06213,0.00799,0.00402,0.0059,14732.97852,0.73215,0.00595,0.21148000000000006,34.90998,4.82754,0.38357,,,,27.483940000000004,27.483940000000004,0.00023
5,PHL,2013.0,2013-0019,10.0,,507769.0,,507769.0,2800.0,0.0,1,4016,3.0,6.0,2,27223.0,1296.0,37080.47,24878.0,1184.0,33886.35,1764093184.0,0.0,0.0,0.0,53.0,16.0172,0.0,8.0,2.0,11.0,53.0,131.28935,1205.8474199999996,0.61246,0.66573,0.20958,196010353.77778,0.00824,0.00822,0.00489,0.00272,0.03305,0.00084,0.01961,0.0,0.0,0.0,8.83333,2.66953,0.0,1.33333,0.33333,1.83333,8.83333,21.88156,200.97457,0.10208,0.11096,0.03493,4239.1909700000015,0.69399,0.00994,0.18978,11.45536,17.65476,1.56089,0.55702,0.43919,0.18474,0.0,0.0,0.00015
6,SOM,2012.0,2012-0508,25.0,,,20000.0,20000.0,,0.0,1,3992,13.0,11.0,1,1050.0,43.0,197.31,283.0,11.0,53.18,40886520.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,27.47981,508.68771,0.0,0.01253,0.0,6814420.0,0.00017,0.0,8e-05,0.0019,0.01542,0.0,0.004520000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,5.49596,101.73754,0.0,0.00251,0.0,495.646,0.36017,0.00299,0.0018,179.67448000000005,2.48698,0.131,0.50285,0.4768600000000001,0.02833,2.0,2.0,0.0
7,ZMB,2003.0,2003-0148,,,,10000.0,10000.0,,0.0,1,2181,8.0,4.0,1,55.0,0.0,0.1,902.0,1.0,1.66,27908222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.71128,0.0,0.0,0.0,1213400.95652,0.0,0.0,0.0,0.0,0.00088,0.0,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1594900000000004,0.0,0.0,0.0,2187.16644,0.44961,0.0,0.10061,490.18379,6.78786,0.58405,0.51221,0.49645,0.02492,4.9565199999999985,4.9565199999999985,1e-05
8,VEN,2005.0,2005-0073,76.0,42.0,25000.0,,25042.0,50000.0,0.0,1,2625,9.0,15.0,1,1195511.0,93.0,418.25,591111.0,46.0,206.8,179719274496.0,0.17927,1.06253,30.0,10534.0,3667.35118,38.0,52.0,59.0,219.0,464.0,4333.245,39086.33461000001,57.88449,3.88999,10.05123,212937529.0237,0.00097,0.01874,0.0005099999999999999,0.0006,0.01356,0.0008300000000000001,0.01135,0.00028,0.00164,0.04622,16.23112,5.65077,0.05855,0.08012000000000001,0.09091,0.33744,0.71495,6.6768,60.22548000000001,0.08918999999999999,0.00599,0.01549,27059.7109,0.71554,0.01162,0.06844,112.77466,16.16933,1.32226,0.4946,0.30797,0.07422999999999999,14.50699,14.50699,0.00057
9,GBR,2007.0,2007-0278,7.0,,340000.0,,340000.0,4000000.0,0.0,2,"[3110, 3137]",13.0,8.5,2,56380.0,115.0,1315.56,56398.0,115.0,1315.98,67327836160.0,94.72858,2.35931,16640.0,3249.0,1007.18562,46.0,87.0,155.0,59.0,270.0,2397.70709,17074.11539,6.8003100000000005,24.6586,3.4160699999999995,701331626.66667,0.02106,0.08852,0.0032,0.00583,0.051320000000000005,0.00095,0.05824,1.02966,0.02564,180.86957,35.31522000000001,10.94767,0.5,0.94565,1.68478,0.6413,2.93478,26.06203,185.58821,0.07392,0.26803,0.03713,36696.34896,0.8976799999999999,0.04488,0.43969,25.19442,6.7549899999999985,0.57873,0.5513399999999999,0.23382,0.28407,94.84536,54.03093000000001,0.0001
